Sand%,Clay%,Silt%,OM%,BD_[g/cm3]
47.65843632,14.04013941,38.30142427,2.10677606,1.1961959863898317
3.042300801,93.02766001,3.9300391889999986,0.925670735,1.6495657079318875
32.31245346,22.43563439,45.251912149999995,40.32345674,0.38275000000000026
13.76385005,60.1547215,26.081428449999997,6.874863116,1.1107921666666667
19.81975032,66.18574693,13.99450275000001,1.808803832,1.5537536139369104
45.67601947,38.70086659,15.623113940000003,1.429934191,1.3974357744267751
3.018354986,90.98244989,5.999195123999996,0.706538148,1.6601101523763322
51.32746217,12.8671174,35.805420430000005,1.304117492,1.200048312784726
52.66153489,35.20760736,12.130857750000004,0.761016768,1.3496662078699269
43.24533796,16.34466284,40.4099992,1.939065096,1.232378035492291
80.34906186,7.116228288,12.534709851999994,1.383944209,1.1236178833550932
41.12214937,46.86995541,12.007895219999995,0.461359544,1.437677322087321
43.10918562,45.7843488,11.106465580000005,3.026506619,1.1737039569288148
40.89184508,45.87492609,13.233228829999995,0.563956032,1.4336221976739094
51.98604966,12.92324269,35.09070765,1.869191298,1.2024112361400394
78.98266597,13.89852546,7.118808570000001,1.585888216,1.1840817742541434
15.61538521,44.28531666,40.09929813,4.670231412,1.2359912139234637
41.36697591,47.65194071,10.981083380000001,0.335791671,1.476151316601547
54.27748275,21.87267714,23.849840110000002,2.018425443,1.2247417479249787
44.03892334,15.05218639,40.90889027,1.853894549,1.2376279650860613
49.19304937,15.10864185,35.698308780000005,2.069486316,1.241484859671884
17.99517079,71.11202282,10.89280638999999,0.722297607,1.5863205291566183
41.33394226,50.35508558,8.310972159999999,1.922286065,1.4773061613026601
10.85254232,72.04073139,17.106726289999997,2.057615075,1.548345619230054
13.79499487,44.19416145,42.01084368,4.875600655,1.2362294726107224
9.378475421,47.44170593,43.179818649,4.958251674,1.2745602564237566
71.54309887,22.77768023,5.679220900000004,0.343906809,1.236902494642794
17.84431843,45.47235395,36.68332762,4.832293002,1.228043190835441
51.62494254,13.69980671,34.675250750000004,1.90801875,1.221763629222015
2.028759543,91.88260042,6.0886400369999905,5.914785974,1.4350427777777788
53.56889177,38.29642962,8.134678610000002,0.277362236,1.4051598675644557
27.10300096,47.88779988,25.009199159999994,1.580790803,1.620867649366458
18.86472799,60.86213689,20.273135119999992,1.849312267,1.5565436089056097
47.93067024,38.20711558,13.862214180000002,0.98325946,1.4083904965285883
48.04859816,44.7058997,7.245502139999999,0.363962457,1.3792817329957257
1.942395099,95.05029409,3.0073108110000106,3.408524445,1.538030019499779
76.09721613,22.00681654,1.8959673299999942,0.526012519,1.218662244395317
17.75218718,49.73253753,32.515275290000005,4.63478086,1.2275270114742616
52.9126645,41.07102474,6.016310760000003,0.41743191,1.4206059524473857
33.0335814,53.88857342,13.077845179999997,2.517509282,1.516146193256487
3.901828039,58.13624669,37.961925271000005,7.249307909,1.159945976190477
81.06667494,12.88476716,6.0485579000000005,1.75147612,1.1676163590955604
16.51556602,48.24728688,35.23714710000001,4.607178938,1.2367926536099036
4.904031304,86.017322,9.078646696000007,0.148213915,1.71571151992828
41.82860388,28.349831,29.82156512,1.89598696,1.2319036474825755
30.96859357,56.96595722,12.065449210000004,3.171750516,1.532579091303721
53.68366563,21.40765659,24.90867778,2.906257588,1.2008553977833731
51.90057644,41.95806948,6.141354079999999,0.227885975,1.4249537807302142
45.89402899,15.80274738,38.30322363,1.423231653,1.3015637415458405
13.94496362,43.94877178,42.1062646,4.947606458,1.2358294726107224
81.85178929,15.94295616,2.205254550000001,1.458892268,1.2675405347798792
28.12345234,34.41234553,37.46420213,23.41234432,0.39203000000000027
29.04707263,47.88886459,23.06406278,1.99491655,1.5979715708411422
33.86706021,58.75657714,7.376362649999997,0.265947225,1.4993408889366335
55.86165732,35.02251584,9.115826840000004,3.466054137,1.243384709200877
7.136867994,85.9251292,6.938002806,0.845698837,1.5932916853244055
8.208916995,45.36311482,46.427968185000005,4.060055593,1.3037432612900905
16.1900931,45.91602713,37.89387977,4.653757148,1.2277378805901307
18.45589879,47.5603032,33.98379801000001,4.644842892,1.2147552267073045
39.58067569,16.77828824,43.64103607,2.270962461,1.2001062287084152
48.97887574,14.43674834,36.58437592,1.759388521,1.230711843118791
25.99490834,53.97731233,20.02777933000001,2.391273212,1.5561970880457872
52.59507556,17.08008165,30.32484279,1.808078639,1.2558482024157802
56.99508251,36.9450595,6.059857989999998,0.265633086,1.3816665575347649
43.94662853,15.61721816,40.43615331,1.877191496,1.239687082333474
2.975303044,86.97900771,10.045689245999995,1.483935286,1.6025770618655661
18.08500755,53.12404937,28.790943079999998,4.938500485,1.2326440642413146
15.26949465,40.5177203,44.21278505,4.833903794,1.2512235252232753
35.1341826,55.11719745,9.748619949999998,3.167007401,1.3677365689441014
69.96336731,20.88740601,9.149226680000005,3.154463447,1.1202822442052554
23.88801652,54.97821235,21.133771129999992,1.845108472,1.5479253026193658
44.11641414,16.36261359,39.52097227,1.982392497,1.239687082333474
61.39986396,29.19218213,9.407953910000003,1.378780376,1.2476391490670027
75.84250776,22.1188233,2.0386689399999973,0.60678557,1.2192789110619835
44.83825296,14.28727721,40.87446983,1.905883761,1.2212077118873967
50.21478007,15.18202389,34.60319604,1.420759906,1.2871063368037796
11.53947765,67.77017377,20.690348580000006,2.494682158,1.5249872597173948
46.02105149,12.96500144,41.01394707,2.001909276,1.1754525261930155
