Sand%,Clay%,Silt%,OM%
47.65843632,14.04013941,38.30142427,2.10677606
3.042300801,93.02766001,3.930039189,0.925670735
32.31245346,22.43563439,45.25191215,40.32345674
13.76385005,60.1547215,26.08142845,6.874863116
19.81975032,66.18574693,13.99450275,1.808803832
45.67601947,38.70086659,15.62311394,1.429934191
3.018354986,90.98244989,5.999195124,0.706538148
51.32746217,12.8671174,35.80542043,1.304117492
52.66153489,35.20760736,12.13085775,0.761016768
43.24533796,16.34466284,40.4099992,1.939065096
80.34906186,7.116228288,12.53470985,1.383944209
41.12214937,46.86995541,12.00789522,0.461359544
43.10918562,45.7843488,11.10646558,3.026506619
40.89184508,45.87492609,13.23322883,0.563956032
51.98604966,12.92324269,35.09070765,1.869191298
78.98266597,13.89852546,7.11880857,1.585888216
15.61538521,44.28531666,40.09929813,4.670231412
41.36697591,47.65194071,10.98108338,0.335791671
54.27748275,21.87267714,23.84984011,2.018425443
44.03892334,15.05218639,40.90889027,1.853894549
49.19304937,15.10864185,35.69830878,2.069486316
17.99517079,71.11202282,10.89280639,0.722297607
41.33394226,50.35508558,8.31097216,1.922286065
10.85254232,72.04073139,17.10672629,2.057615075
13.79499487,44.19416145,42.01084368,4.875600655
9.378475421,47.44170593,43.17981865,4.958251674
71.54309887,22.77768023,5.6792209,0.343906809
17.84431843,45.47235395,36.68332762,4.832293002
51.62494254,13.69980671,34.67525075,1.90801875
2.028759543,91.88260042,6.088640037,5.914785974
53.56889177,38.29642962,8.13467861,0.277362236
27.10300096,47.88779988,25.00919916,1.580790803
18.86472799,60.86213689,20.27313512,1.849312267
47.93067024,38.20711558,13.86221418,0.98325946
48.04859816,44.7058997,7.24550214,0.363962457
1.942395099,95.05029409,3.007310811,3.408524445
76.09721613,22.00681654,1.89596733,0.526012519
17.75218718,49.73253753,32.51527529,4.63478086
52.9126645,41.07102474,6.01631076,0.41743191
33.0335814,53.88857342,13.07784518,2.517509282
3.901828039,58.13624669,37.96192527,7.249307909
81.06667494,12.88476716,6.0485579,1.75147612
16.51556602,48.24728688,35.2371471,4.607178938
4.904031304,86.017322,9.078646696,0.148213915
41.82860388,28.349831,29.82156512,1.89598696
30.96859357,56.96595722,12.06544921,3.171750516
53.68366563,21.40765659,24.90867778,2.906257588
51.90057644,41.95806948,6.14135408,0.227885975
45.89402899,15.80274738,38.30322363,1.423231653
13.94496362,43.94877178,42.1062646,4.947606458
81.85178929,15.94295616,2.20525455,1.458892268
28.12345234,34.41234553,37.46420213,23.41234432
29.04707263,47.88886459,23.06406278,1.99491655
33.86706021,58.75657714,7.37636265,0.265947225
55.86165732,35.02251584,9.11582684,3.466054137
7.136867994,85.9251292,6.938002806,0.845698837
8.208916995,45.36311482,46.42796819,4.060055593
16.1900931,45.91602713,37.89387977,4.653757148
18.45589879,47.5603032,33.98379801,4.644842892
39.58067569,16.77828824,43.64103607,2.270962461
48.97887574,14.43674834,36.58437592,1.759388521
25.99490834,53.97731233,20.02777933,2.391273212
52.59507556,17.08008165,30.32484279,1.808078639
56.99508251,36.9450595,6.05985799,0.265633086
43.94662853,15.61721816,40.43615331,1.877191496
2.975303044,86.97900771,10.04568925,1.483935286
18.08500755,53.12404937,28.79094308,4.938500485
15.26949465,40.5177203,44.21278505,4.833903794
35.1341826,55.11719745,9.74861995,3.167007401
69.96336731,20.88740601,9.14922668,3.154463447
23.88801652,54.97821235,21.13377113,1.845108472
44.11641414,16.36261359,39.52097227,1.982392497
61.39986396,29.19218213,9.40795391,1.378780376
75.84250776,22.1188233,2.03866894,0.60678557
44.83825296,14.28727721,40.87446983,1.905883761
50.21478007,15.18202389,34.60319604,1.420759906
11.53947765,67.77017377,20.69034858,2.494682158
46.02105149,12.96500144,41.01394707,2.001909276
